Timestamp,Which of the following would you like to see discussed at a future meetup:,I am currently employed as a:,Years experience in full-time front end development work:,My current salary is:,I work for:,"In your job, which of the following do you use regularly:"
5/21/2014 10:38:06,"jQuery, Sass, HTML5 Canvas, SVG, WebGL, Backbone.js, Angular.js, Ember.js, Node.js, Responsive Design",Front End Developer,1-2 years,,A Web Consultency,"JavaScript, jQuery, Sass, Responsive Design"
5/21/2014 10:46:49,"JavaScript Best Practicies, WebGL, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Full-stack Developer,2-5 years,"$100,000 - $130,000",A Non-web company (2-50 Employees),"JavaScript, D3.js"
5/21/2014 10:48:12,"JavaScript Best Practicies, Sass, HTML5 Canvas, Backbone.js, Angular.js, Node.js",Front End Developer,<1 years,,A Web Consultency,"JavaScript, jQuery"
5/21/2014 10:51:54,"JavaScript Best Practicies, Angular.js, Ember.js",Full-stack Developer,<1 years,"$50,000 - $80,000",A Web Startup,"JavaScript, Django"
5/21/2014 10:54:33,"JavaScript Best Practicies, Node.js, D3.js, Responsive Design",Full-stack Developer,2-5 years,"$80,000 - $100,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, Node.js, Responsive Design"
5/21/2014 11:03:14,"JavaScript Best Practicies, Sass, HTML5 Canvas, WebGL, Angular.js, Responsive Design",Front End Developer,<1 years,"$50,000 - $80,000",A Web Startup,"JavaScript, Sass, Angular.js"
5/21/2014 11:06:51,"CoffeeScript, Angular.js, Node.js",Front End Developer,5+ years,"$100,000 - $130,000",Myself,"JavaScript, jQuery, Sass, Responsive Design"
5/21/2014 11:06:56,"JavaScript Best Practicies, Angular.js",Front End Developer,5+ years,"$130,000+",A Large Web Company (50+ Employees),"JavaScript, Sass, Angular.js, Responsive Design"
5/21/2014 11:07:13,"Sass, LESS, Responsive Design",Full-stack Developer,<1 years,"$10,000 - $30,000",Myself,"JavaScript, jQuery"
5/21/2014 11:16:22,"jQuery, Angular.js, Responsive Design",Full-stack Developer,5+ years,"$50,000 - $80,000",Myself,"jQuery, Responsive Design"
5/21/2014 11:16:41,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, LESS, Backbone.js, Angular.js, Ember.js, Responsive Design",Looking for a Job,2-5 years,"$100,000 - $130,000",Myself,"JavaScript, CoffeeScript, jQuery, Sass, Responsive Design"
5/21/2014 11:30:59,"JavaScript Best Practicies, Sass, LESS, SVG, Backbone.js, Node.js, Responsive Design",Full-stack Developer,2-5 years,"$50,000 - $80,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, Less, Backbone.js, Responsive Design"
5/21/2014 11:32:19,"HTML5 Canvas, SVG, WebGL, D3.js, Responsive Design",Full-stack Developer,1-2 years,"$50,000 - $80,000",Myself,"JavaScript, jQuery, SVG, D3.js"
5/21/2014 11:41:05,"JavaScript Best Practicies, Sass, Angular.js, Node.js",Front End Developer,5+ years,"$100,000 - $130,000",A Large Web Company (50+ Employees),"JavaScript, CoffeeScript, jQuery, HTML5 Canvas, Backbone.js, Node.js"
5/21/2014 11:48:47,"JavaScript Best Practicies, jQuery, Sass, LESS, Backbone.js, Angular.js",Designer / Developer,2-5 years,"$50,000 - $80,000",A Large Web Company (50+ Employees),"jQuery, Less"
5/21/2014 11:55:18,"JavaScript Best Practicies, jQuery, Node.js",Looking for a Job,<1 years,,,
5/21/2014 12:14:09,"JavaScript Best Practicies, D3.js",Designer / Developer,2-5 years,"$80,000 - $100,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Less, knockout.js"
5/21/2014 12:30:19,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas, SVG, WebGL, Backbone.js, Node.js, D3.js",Front End Developer,5+ years,"$100,000 - $130,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Sass, Responsive Design"
5/21/2014 12:40:18,"Sass, LESS, HTML5 Canvas",Designer / Developer,5+ years,"$80,000 - $100,000",A Web Consultency,"JavaScript, jQuery, Sass, Less, Backbone.js, Responsive Design"
5/21/2014 14:17:54,"JavaScript Best Practicies, HTML5 Canvas, SVG, WebRTC, Node.js, D3.js, Responsive Design",Full-stack Developer,2-5 years,"$80,000 - $100,000",A Web Consultency,"JavaScript, jQuery, Sass, Responsive Design"
5/21/2014 15:03:03,"JavaScript Best Practicies, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Front End Developer,5+ years,"$50,000 - $80,000",A Non-web company (2-50 Employees),"JavaScript, jQuery, Sass, Responsive Design, Ruby on Rails"
5/21/2014 15:27:03,"JavaScript Best Practicies, Sass, Angular.js, Responsive Design",Looking for a Job,5+ years,"$10,000 - $30,000",Myself,"JavaScript, jQuery, Sass, Angular.js, Node.js, Responsive Design, PHP"
5/21/2014 16:20:46,"Backbone.js, Angular.js, Node.js, Responsive Design",Looking for a Job,<1 years,"$30,000 - $50,000",A Large Non-web company (50+ Employees),
5/21/2014 17:09:25,"JavaScript Best Practicies, SVG, WebRTC, Angular.js, Node.js, D3.js",Full-stack Developer,2-5 years,"$100,000 - $130,000",A Large Non-web company (50+ Employees),"JavaScript, Sass, Angular.js, Node.js, Responsive Design"
